"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "XML", "HTML", "Properties", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\package-lock.json", "JSON", 0, 0, -1609, 0, 0, 0, 0, 0, 0, 0, -1, -1610
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\package.json", "JSON", 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, -1, -32
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\adminRoutes.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\authRoutes.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -3, -9
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\bikeRoutes.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -6, -24
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\indexRoutes.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\paymentRoutes.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\rentalRoutes.js", "JavaScript", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -6, -20
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\reviewRoutes.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\nodeapp\routes\userRoutes.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -4, -24
"c:\Users\khanh\IT4997\rental-motorbike-web\backend\package-lock.json", "JSON", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 5
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\package-lock.json", "JSON", 0, 0, 18500, 0, 0, 0, 0, 0, 0, 0, 1, 18501
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\package.json", "JSON", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\public\assets\messenger.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 17
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\public\assets\payment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\public\assets\zalo.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\App.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\auth\RequireAdmin.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\auth\RequireOwner.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Address\AddressAutoComplete.css", "PostCSS", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Address\AddressAutoComplete.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 1, 11, 91
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Admin\SideBar\SideBar.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Admin\SideBar\Sidebar.css", "PostCSS", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Auth\SignIn.css", "PostCSS", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 133
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Auth\SignIn.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 30, 11, 152
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Footer\Footer.css", "PostCSS", 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 77
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Footer\Footer.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Header\Header.css", "PostCSS", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 118
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Header\Header.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\LocationPicker\LocationPicker.css", "PostCSS", 34, 0, 0, 0, 0, 0, 0, 0, 0, 25, 7, 66
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\LocationPicker\LocationPicker.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 29, 30, 181
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\all.css", "PostCSS", 14507, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4929, 19443
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\all.min.css", "PostCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\brands.css", "PostCSS", 1072, 0, 0, 0, 0, 0, 0, 0, 0, 5, 533, 1610
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\brands.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-light.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-regular.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-thin.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone.css", "PostCSS", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 53
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\fontawesome.css", "PostCSS", 13305, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4374, 17686
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\fontawesome.min.css", "PostCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\light.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\regular.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-light.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-regular.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-solid.css", "PostCSS", 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 65
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-thin.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-light.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-regular.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-solid.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-thin.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\solid.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\svg-with-js.css", "PostCSS", 387, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70, 462
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\svg-with-js.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\thin.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v4-font-face.css", "PostCSS", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v4-font-face.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v4-shims.css", "PostCSS", 1566, 0, 0, 0, 0, 0, 0, 0, 0, 5, 624, 2195
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v4-shims.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v5-font-face.css", "PostCSS", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 35
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\v5-font-face.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\index.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\AdminLayout.css", "PostCSS", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\AdminLayout.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsBike\ApprovalsBike.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsBike\ApprovalsBike.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 21, 22, 201
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsLicense\ApprovalsLicense.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsLicense\ApprovalsLicense.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 12, 88
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsOwner\ApprovalsOwner.css", "PostCSS", 184, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 218
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\ApprovalsOwner\ApprovalsOwner.js", "JavaScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 1, 27, 203
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\Bike\BikeManagement.css", "PostCSS", 144, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 172
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\Bike\BikeManagement.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 6, 20, 151
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\Dashboard\Dashboard.css", "PostCSS", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\Dashboard\Dashboard.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 22, 10, 120
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\UserManagement\UserManagement.css", "PostCSS", 117, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 142
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\UserManagement\UserManagement.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 0, 5, 21, 153
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\AccountLayout.css", "PostCSS", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 49
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\AccountLayout.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\AccountPage\Account.css", "PostCSS", 120, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 153
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\AccountPage\Account.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 0, 0, 2, 20, 164
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\BikeManagement\BikeManagement.css", "PostCSS", 157, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 180
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\BikeManagement\BikeManagement.js", "JavaScript", 0, 442, 0, 0, 0, 0, 0, 0, 0, 2, 51, 495
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\BookingPage\BookingPage.css", "PostCSS", 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 98
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\BookingPage\BookingPage.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 1, 17, 171
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\Dashboard\Dashboard.css", "PostCSS", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\Dashboard\Dashboard.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 0, 0, 7, 29, 193
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\Favorite\Favorite.css", "PostCSS", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 125
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Account\Favorite\Favorite.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Find\Search.css", "PostCSS", 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 107
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Find\Search.js", "JavaScript", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 26, 258
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Home\Home.css", "PostCSS", 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 439
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Home\Home.js", "JavaScript", 0, 275, 0, 0, 0, 0, 0, 0, 0, 1, 44, 320
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\MotorDetail\MotorDetail.css", "PostCSS", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 208
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\MotorDetail\MotorDetail.js", "JavaScript", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 50, 338
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\AddBike\Addbike.css", "PostCSS", 159, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 187
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\AddBike\Addbike.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 46, 303
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\RegisterPage\RegisterPage.css", "PostCSS", 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 112
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\RegisterPage\RegisterPage.js", "JavaScript", 0, 233, 0, 0, 0, 0, 0, 0, 0, 1, 49, 283
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\Register\Register.css", "PostCSS", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\Owner\Register\Register.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\RentalForm\RentalForm.css", "PostCSS", 105, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 127
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\RentalForm\RentalForm.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 15, 19, 149
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\UserLayout.css", "PostCSS", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\Admin\User\UserLayout.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\AccountLayout.css", "PostCSS", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 49
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\AccountLayout.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\AccountPage\Account.css", "PostCSS", 120, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 153
